unit,split-point-x,split-point-y,is_coal,coef-2-emission-quad,coef-1-emission-quad,coef-0-emission-quad,coef-1-emission-linear,coef-0-emission-linear,quad-emission,linear-emission
CA_Valley Generating Station_unit5_P47,5.057968038422676,0.6750593227443522,False,0.043499,0.442694,0.043499,0.002682,0.688626,0.043499*x*x + -0.442694*x+ 1.801344, '-0.002682*x + 0.688626'
CO_Brush Power Projects_unitGT5_P79,13.44156536103636,0.6986103630917532,False,0.014696,0.175855,0.014696,0.001874,0.723798,-0.014696*x*x + 0.175855*x+ 0.990011, '-0.001874*x + 0.723798'
CO_Pueblo Airport Generating Station_unitCT02_P94,21.633997682993776,0.7429729435657025,False,0.003722,0.074827,0.003722,0.004372,0.837548,0.003722*x*x + -0.074827*x+ 0.619655, '-0.004372*x + 0.837548'
GA_Dahlberg (Jackson County)_unit1_P92,4.866551935148851,1.038961272663461,False,0.672214,6.547216,0.672214,0.004481,1.060769,0.672214*x*x + -6.547216*x+ 16.981065, '-0.004481*x + 1.060769'
GA_Dahlberg (Jackson County)_unit3_P93,5.2359547741197865,0.9337258642220684,False,0.485656,5.088926,0.485656,0.00324,0.950693,0.485656*x*x + -5.088926*x+ 14.264761, '-0.003240*x + 0.950693'
GA_Dahlberg (Jackson County)_unit5_P92,5.367511801314905,0.9734140268406176,False,0.511522,5.494797,0.511522,0.003661,0.993064,0.511522*x*x + -5.494797*x+ 15.729757, '-0.003661*x + 0.993064'
GA_Doyle Energy Facility_unitxxxCTG4_P90,3.768336486901843,0.3728796501734285,False,0.221259,1.663201,0.221259,0.004197,0.357065,0.221259*x*x + -1.663201*x+ 3.498420, '0.004197*x + 0.357065'
"IL_LSP University Park, LLC_unitCT03_P49",24.999979992876984,0.604873934876798,False,0.002004,0.045337,0.002004,0.000207,0.610037,0.002004*x*x + -0.045337*x+ 0.485940, '-0.000207*x + 0.610037'
"IL_LSP University Park, LLC_unitCT12_P50",25.035352927959146,0.5988285998687372,False,0.000772,0.002743,0.000772,0.000463,0.587246,0.000772*x*x + -0.002743*x+ 0.183656, '0.000463*x + 0.587246'
KY_Smith Generating Facility_unitSCT5_P88,13.536115869449135,0.7667948976277968,False,0.0128,0.280537,0.0128,0.00019,0.769363,0.012800*x*x + -0.280537*x+ 2.218912, '-0.000190*x + 0.769363'
KY_Smith Generating Facility_unitSCT7_P90,16.23223733172365,0.7893074573867295,False,0.008209,0.204373,0.008209,0.000508,0.797554,0.008209*x*x + -0.204373*x+ 1.943709, '-0.000508*x + 0.797554'
NM_Bluffview Power Plant_unitxxxCTG1_P58,11.866199762829067,0.649407135423001,False,0.018208,0.43683,0.018208,0.004168,0.698871,0.018208*x*x + -0.436830*x+ 3.269176, '-0.004168*x + 0.698871'
NM_Rio Grande_unit9_P90,27.85279992666816,0.7045733766410027,False,0.002768,0.109968,0.002768,0.002957,0.786944,-0.002768*x*x + 0.109968*x+ -0.210592, '-0.002957*x + 0.786944'
CA_Haynes Generating Station_unit15_P103,5.82440974006786,0.5889235860630665,False,0.030883,0.360615,0.030883,0.000898,0.594153,0.030883*x*x + -0.360615*x+ 1.641631, '-0.000898*x + 0.594153'
CA_La Paloma Generating Plant_unitxxxCTG4_P271,2.118822306035673,0.7474331328541559,False,4.034066,20.128948,4.034066,0.001533,0.750681,4.034066*x*x + -20.128948*x+ 25.286529, '-0.001533*x + 0.750681'
