unit,Piecewise-Quad-Linear,Point_Qu
CA_Valley Generating Station_unit5_P47,"('0.043499*x*x + -0.442694*x+ 1.801344', '-0.002682*x + 0.688626')","[5.057968038422676, 0.6750593227443522]"
CO_Brush Power Projects_unitGT5_P79,"('-0.014696*x*x + 0.175855*x+ 0.990011', '-0.001874*x + 0.723798')","[13.44156536103636, 0.6986103630917532]"
CO_Pueblo Airport Generating Station_unitCT02_P94,"('0.003722*x*x + -0.074827*x+ 0.619655', '-0.004372*x + 0.837548')","[21.633997682993776, 0.7429729435657025]"
GA_Dahlberg (Jackson County)_unit1_P92,"('0.672214*x*x + -6.547216*x+ 16.981065', '-0.004481*x + 1.060769')","[4.866551935148851, 1.038961272663461]"
GA_Dahlberg (Jackson County)_unit3_P93,"('0.485656*x*x + -5.088926*x+ 14.264761', '-0.003240*x + 0.950693')","[5.2359547741197865, 0.9337258642220683]"
GA_Dahlberg (Jackson County)_unit5_P92,"('0.511522*x*x + -5.494797*x+ 15.729757', '-0.003661*x + 0.993064')","[5.367511801314905, 0.9734140268406175]"
GA_Doyle Energy Facility_unitxxxCTG4_P90,"('0.221259*x*x + -1.663201*x+ 3.498420', '0.004197*x + 0.357065')","[3.768336486901843, 0.37287965017342856]"
"IL_LSP University Park, LLC_unitCT03_P49","('0.002004*x*x + -0.045337*x+ 0.485940', '-0.000207*x + 0.610037')","[24.999979992876984, 0.604873934876798]"
"IL_LSP University Park, LLC_unitCT12_P50","('0.000772*x*x + -0.002743*x+ 0.183656', '0.000463*x + 0.587246')","[25.035352927959146, 0.5988285998687372]"
KY_Smith Generating Facility_unitSCT5_P88,"('0.012800*x*x + -0.280537*x+ 2.218912', '-0.000190*x + 0.769363')","[13.536115869449135, 0.7667948976277968]"
KY_Smith Generating Facility_unitSCT7_P90,"('0.008209*x*x + -0.204373*x+ 1.943709', '-0.000508*x + 0.797554')","[16.23223733172365, 0.7893074573867295]"
NM_Bluffview Power Plant_unitxxxCTG1_P58,"('0.018208*x*x + -0.436830*x+ 3.269176', '-0.004168*x + 0.698871')","[11.866199762829067, 0.649407135423001]"
NM_Rio Grande_unit9_P90,"('-0.002768*x*x + 0.109968*x+ -0.210592', '-0.002957*x + 0.786944')","[27.85279992666816, 0.7045733766410027]"
CA_Haynes Generating Station_unit15_P103,"('0.030883*x*x + -0.360615*x+ 1.641631', '-0.000898*x + 0.594153')","[5.82440974006786, 0.5889235860630665]"
CA_La Paloma Generating Plant_unitxxxCTG4_P271,"('4.034066*x*x + -20.128948*x+ 25.286529', '-0.001533*x + 0.750681')","[2.1188223060356735, 0.7474331328541559]"
CA_Mountainview Generating Station_unitxxx31_P288,"('0.868852*x*x + -8.168913*x+ 19.922467', '-0.001403*x + 0.728101')","[4.700179074416136, 0.7215081976736224]"
CA_Mountainview Generating Station_unitxxx41_P284,"('0.031562*x*x + -1.102939*x+ 10.232281', '-0.000869*x + 0.611929')","[17.45934112535946, 0.5967650022068249]"
FL_C D McIntosh Jr Power Plant_unit3_Coal_P365,"('0.654350*x*x + -8.795725*x+ 30.657607', '-0.000489*x + 1.103038')","[6.720927891291005, 1.0997526694969832]"
